tournament,model,reliability,resolution,uncertainty,brier,n
afcon19,bayesian,0.007272966164775763,0.021935320242444767,0.22222222222222224,0.2049774142512375,52
afcon19,dc,0.006983272624275032,0.03506730429167809,0.22222222222222224,0.19310624628138232,52
afcon21,bayesian,0.015554901266096249,0.03056027465510224,0.22222222222222224,0.20965807122677158,52
afcon21,dc,0.015864754714754754,0.029797176507702822,0.22222222222222224,0.2092517137449227,52
afcon23,bayesian,0.01728216698999828,0.012390109890109892,0.22222222222222224,0.22683633455617452,52
afcon23,dc,0.01845029681240719,0.017041687254897964,0.22222222222222224,0.22360309923121435,52
afcon23,gbm,0.013566978982871012,0.012862934618421442,0.22222222222222224,0.22528324331011745,52
asian19,bayesian,0.008863635527642374,0.05517241833919043,0.22222222222222224,0.1745417240853816,51
asian19,dc,0.008047526573879336,0.07412750209239774,0.22222222222222224,0.1575582598794376,51
asian23,bayesian,0.00581018950714689,0.03503453699532131,0.22222222222222224,0.19434242060152576,51
asian23,dc,0.0048674940530966816,0.051568650922745506,0.22222222222222224,0.17964119141267423,51
asian23,gbm,0.011994541706340666,0.06461272704313575,0.22222222222222224,0.16520999147589524,51
copa19,bayesian,0.02070307323963899,0.0398586456278764,0.22222222222222224,0.20167747918263074,26
copa19,dc,0.029960840184431264,0.04775031731553471,0.22222222222222224,0.20441260352275115,26
copa21,bayesian,0.017555168539838725,0.06459623323013416,0.22222222222222224,0.17654019910112553,28
copa21,dc,0.019285676418247126,0.05648148148148148,0.22222222222222224,0.18384171181075,28
copa24,bayesian,0.0219932923809111,0.0571206406539224,0.22222222222222224,0.18396899893508387,32
copa24,dc,0.023096439374206065,0.07437266573295986,0.22222222222222224,0.16894773914434658,32
copa24,gbm,0.01202917718521039,0.07159517858265736,0.22222222222222224,0.16410505665986005,32
euro16,bayesian,0.016599839020354872,0.010632663601475547,0.22222222222222224,0.22530307201387142,51
euro16,dc,0.019678393443219283,0.010569237210328427,0.22222222222222224,0.2318197903803391,51
euro20,bayesian,0.008863803010235538,0.04128642599230834,0.22222222222222224,0.1877648642442877,51
euro20,dc,0.010092143697290522,0.04757078155227697,0.22222222222222224,0.186470270470873,51
euro24,bayesian,0.025689241809541397,0.0365916567471777,0.22222222222222224,0.21017195017740467,51
euro24,dc,0.003876834637091643,0.02129448982390159,0.22222222222222224,0.20736915390625807,51
euro24,gbm,0.00844768770301324,0.03189853719265484,0.22222222222222224,0.19944791454127986,51
wc14,bayesian,0.006152133097906997,0.019058419738863287,0.22222222222222224,0.20982350335861485,64
wc14,dc,0.01002113808962846,0.04984966239058608,0.22222222222222224,0.18029424145509454,64
wc18,bayesian,0.007636069198536332,0.012651289682539684,0.22222222222222224,0.2188539749882897,64
wc18,dc,0.025640487037714457,0.05149184936178896,0.22222222222222224,0.1944607367079362,64
wc22,bayesian,0.008831705245418849,0.008937834501871973,0.22222222222222224,0.2219823988561045,64
wc22,dc,0.010562715881290253,0.02608919789799027,0.22222222222222224,0.2066667155530654,64
wc22,gbm,0.013664698657951078,0.023974037049694943,0.22222222222222224,0.21007270252449842,64
