tournament,model,n,rps,rps_ci_lo,rps_ci_hi,log_loss,brier,accuracy,ece
afcon19,bayesian,52,0.20089581034266824,0.16980061817595812,0.23806754895769655,1.019039611302819,0.2049774142512375,0.5,0.05962555344479431
afcon19,dc,52,0.18938532338821396,0.15486207772987115,0.22617241041747832,0.9711773553982469,0.19310624628138232,0.5576923076923077,0.06345649005351692
afcon21,bayesian,52,0.20320759173258487,0.15376473170647867,0.25254428393864453,1.05373285398669,0.20965807122677158,0.5,0.0766231118475612
afcon21,dc,52,0.20205133359016259,0.162517394768454,0.24299274365026124,1.0279937157074381,0.2092517137449227,0.46153846153846156,0.09462408954847244
afcon23,bayesian,52,0.2181433611441344,0.17390871825276555,0.2679709959090753,1.1231649440231937,0.22683633455617452,0.4230769230769231,0.08995878379399053
afcon23,dc,52,0.212470334844291,0.17324425037918978,0.25579520062728506,1.1022628083505237,0.22360309923121435,0.38461538461538464,0.08772883559086726
afcon23,gbm,52,0.2167903699758371,0.17527764969427578,0.2658091640665915,1.1124329324891769,0.22528324331011745,0.4230769230769231,0.07882028821100645
asian19,bayesian,51,0.18891251703660342,0.1532317573841291,0.2268084174153379,0.8944085633274,0.1745417240853816,0.6274509803921569,0.05753597557374395
asian19,dc,51,0.17328556534997896,0.13469761057941645,0.22139642476067886,0.8223898032084076,0.1575582598794376,0.7254901960784313,0.06131052458874915
asian23,bayesian,51,0.19298491394694162,0.1501988874479514,0.23955047195569953,0.971974018871489,0.19434242060152576,0.49019607843137253,0.05480346790864676
asian23,dc,51,0.17199060667569918,0.12825516398292927,0.21709652277014133,0.9063605294427859,0.17964119141267423,0.5686274509803921,0.042465758287383734
asian23,gbm,51,0.1570630604747085,0.11884060929080514,0.19768345064714377,0.8377075328276051,0.16520999147589524,0.5686274509803921,0.06756982997732984
copa19,bayesian,26,0.17434350483159675,0.13860135634241005,0.21346757902143598,0.9699752373345678,0.20167747918263074,0.5384615384615384,0.08745316867898337
copa19,dc,26,0.17901859386728303,0.1370570593577232,0.22113048470645044,0.9903899783711612,0.20441260352275115,0.5,0.09271984019199604
copa21,bayesian,28,0.15803385882380203,0.10937174355182669,0.2164558997562731,0.9146670325915119,0.17654019910112553,0.6071428571428571,0.08531133784097047
copa21,dc,28,0.16711942720770215,0.12180415237538429,0.22023934627038175,0.9287164870477206,0.18384171181075,0.5357142857142857,0.10616169621041217
copa24,bayesian,32,0.1764593788815119,0.11415949796664622,0.24067670523338527,0.9453479552786781,0.18396899893508387,0.5625,0.11002430094942944
copa24,dc,32,0.1545113801352901,0.10981848962261988,0.20452131371861537,0.8686230538928685,0.16894773914434658,0.5625,0.1116463242335056
copa24,gbm,32,0.14599685910431348,0.11633411504257207,0.1793532604434441,0.8428086626980993,0.16410505665986005,0.625,0.09210434711133171
euro16,bayesian,51,0.23645777366483642,0.19630984576278404,0.27779643382912594,1.1322447217682414,0.22530307201387142,0.4117647058823529,0.11350768944266533
euro16,dc,51,0.2453385644866735,0.20527113827306484,0.2872087468873527,1.1431435969823889,0.2318197903803391,0.35294117647058826,0.13209246207976022
euro20,bayesian,51,0.18505378000813186,0.1460129522175807,0.23054203104450469,0.9444870680224233,0.1877648642442877,0.5686274509803921,0.07131828226650387
euro20,dc,51,0.1905640559632232,0.14932778493239832,0.23881693200564663,0.9503834154205947,0.186470270470873,0.5490196078431373,0.06383681681601092
euro24,bayesian,51,0.20531919965912385,0.15590987266998874,0.25930356012235517,1.0593626430327336,0.21017195017740467,0.5098039215686274,0.1284973756559878
euro24,dc,51,0.20004864179395665,0.16523282708909423,0.2397268691370573,1.0316201009003643,0.20736915390625807,0.47058823529411764,0.05568447881462304
euro24,gbm,51,0.18796588680157184,0.1519075140558823,0.22625937308431315,1.000807134279243,0.19944791454127986,0.5098039215686274,0.07320365192337003
wc14,bayesian,64,0.22948433911083935,0.1910214527951113,0.27160064028459197,1.0559463128798623,0.20982350335861485,0.53125,0.059897152587545445
wc14,dc,64,0.19021370898182285,0.1571249090154579,0.22692861168647013,0.9194506082686642,0.18029424145509454,0.625,0.07900831994693684
wc18,bayesian,64,0.23477912664052483,0.20400261646306447,0.2663834702104912,1.0853423076507625,0.2188539749882897,0.421875,0.05939987717345397
wc18,dc,64,0.2088233415206957,0.17478291098959278,0.24697060314855615,0.9775159015706121,0.1944607367079362,0.625,0.11211674039056542
wc22,bayesian,64,0.23440454467886868,0.2000445541448241,0.27329718831198224,1.113748001358255,0.2219823988561045,0.421875,0.0817609490027649
wc22,dc,64,0.22178233829976024,0.1789753280923789,0.2686600643894637,1.0581828756931537,0.2066667155530654,0.484375,0.08046693115087845
wc22,gbm,64,0.22564741620683565,0.1863858008465058,0.26990197651054837,1.0826726067720958,0.21007270252449842,0.515625,0.06706105256497483
